"","Year","Label","Fleet/Survey","Species","X1","X2","X3","X4","effN","pred_value"
"1","15","catch","1","1","0.0280992","0.557025","0.414876","-999","605","0.383884"
"2","16","catch","1","1","0.0277778","0.520202","0.450758","0.00126263","792","0.216777"
"3","17","catch","1","1","0.0280488","0.52439","0.447561","-999","820","0.0371941"
"4","18","catch","1","1","0.0317073","0.542683","0.42561","-999","820","0.386983"
"5","19","catch","1","1","0.0351515","0.551515","0.413333","-999","825","0.27752"
"6","20","catch","1","1","0.0361446","0.56747","0.396386","-999","830","0.0514803"
"7","21","catch","1","1","0.0341048","0.568819","0.397077","-999","821","1.80356e-06"
"8","22","catch","1","1","0.0364964","0.554745","0.408759","-999","822","0.371985"
"9","23","catch","1","1","0.0429448","0.543558","0.413497","-999","815","0.390306"
"10","24","catch","1","1","0.0387409","0.542373","0.418886","-999","826","0.0862297"
"11","25","catch","1","1","0.0376914","0.548881","0.413428","-999","849","0.203164"
"12","26","catch","1","1","0.0376671","0.526124","0.436209","-999","823","0.194708"
"13","27","catch","1","1","0.0409146","0.555957","0.401925","0.00120337","831","0.0520852"
"14","28","catch","1","1","0.0415648","0.526895","0.430318","0.00122249","818","0.312536"
"15","29","catch","1","1","0.0405728","0.536993","0.422434","-999","838","0.247927"
"16","30","catch","1","1","0.0383234","0.51976","0.439521","0.00239521","835","0.0718426"
"17","31","catch","1","1","0.0382716","0.537037","0.423457","0.00123457","810","0.334862"
"18","32","catch","1","1","0.0369928","0.5358","0.426014","0.00119332","838","0.301688"
"19","33","catch","1","1","0.0391198","0.53912","0.420538","0.00122249","818","0.0924958"
"20","34","catch","1","1","0.0421179","0.548736","0.407942","0.00120337","831","0.231807"
"21","35","catch","1","1","0.0375758","0.52","0.44","0.00242424","825","0.182198"
"22","36","catch","1","1","0.0385572","0.531095","0.429104","0.00124378","804","0.058343"
"23","37","catch","1","1","0.0389294","0.534063","0.425791","0.00121655","822","0.339723"
"24","38","catch","1","1","0.0401891","0.546099","0.411348","0.00236407","846","0.235115"
"25","39","catch","1","1","0.0386007","0.546441","0.412545","0.00241255","829","0.0724403"
"26","40","catch","1","1","0.0376214","0.512136","0.447816","0.00242718","824","0.355466"
"27","41","catch","1","1","0.0388235","0.518824","0.442353","-999","850","0.280134"
"28","42","catch","1","1","0.0343137","0.479167","0.484069","0.00245098","816","0.0838396"
"29","43","catch","1","1","0.03125","0.46","0.50375","0.005","800","0.362378"
"30","44","catch","1","1","0.0316687","0.460414","0.500609","0.00730816","821","0.342551"
"31","45","catch","1","1","0.0308642","0.446914","0.516049","0.00617284","810","0.104238"
"32","46","catch","1","1","0.0369458","0.444581","0.513547","0.00492611","812","0.315098"
"33","47","catch","1","1","0.028536","0.434243","0.531017","0.00620347","806","0.351064"
"34","48","catch","1","1","0.0266667","0.419394","0.547879","0.00606061","825","0.112938"
"35","49","catch","1","1","0.0318066","0.435115","0.52799","0.00508906","786","0.211632"
"36","50","catch","1","1","0.0308261","0.437731","0.52651","0.00493218","811","0.181895"
"37","51","catch","1","1","0.0271941","0.431397","0.533993","0.00741656","809","0.0617027"
"38","52","catch","1","1","0.0306748","0.439264","0.525153","0.00490798","815","0.327284"
"39","53","catch","1","1","0.0250313","0.440551","0.530663","0.00375469","799","0.227994"
"40","54","catch","1","1","0.0294118","0.441176","0.528186","0.00122549","816","0.0743112"
"41","55","catch","1","1","0.0295203","0.439114","0.526445","0.00492005","813","2.20726e-07"
"42","56","catch","1","1","0.0309789","0.436183","0.527881","0.00495663","807","0.342858"
"43","57","catch","1","1","0.027127","0.4291","0.541307","0.00246609","811","0.262005"
"44","58","catch","1","1","0.0269608","0.439951","0.529412","0.00367647","816","0.0818521"
"45","59","catch","1","1","0.0293758","0.4541","0.512852","0.00367197","817","1.97084e-07"
"46","60","catch","1","1","0.0314861","0.457179","0.508816","0.00251889","794","0.359997"
"47","61","catch","1","1","0.0336943","0.475331","0.487365","0.00361011","831","0.320989"
"48","62","catch","1","1","0.0266836","0.444727","0.524778","0.00381194","787","0.0999943"
"49","63","catch","1","1","0.0294479","0.438037","0.530061","0.00245399","815","0.344488"
"50","64","catch","1","1","0.0222772","0.455446","0.519802","0.00247525","808","0.374727"
"51","65","catch","1","1","0.0319018","0.435583","0.530061","0.00245399","815","0.121462"
"52","66","catch","1","1","0.026616","0.446134","0.523447","0.00380228","789","1.90607e-07"
"53","67","catch","1","1","0.0273973","0.455791","0.515567","0.00124533","803","0.205686"
"54","68","catch","1","1","0.0333745","0.467244","0.494438","0.00494438","809","0.175993"
"55","69","catch","1","1","0.0289157","0.46506","0.501205","0.00481928","830","0.0600545"
"56","70","catch","1","1","0.0298507","0.457711","0.508706","0.00373134","804","7.69967e-08"
"57","71","catch","1","1","0.0297398","0.473358","0.494424","0.00247831","807","0.208561"
"58","72","catch","1","1","0.0317073","0.486585","0.481707","-999","820","0.0928319"
"59","73","catch","1","1","0.0349398","0.477108","0.487952","-999","830","0.0290677"
"60","74","catch","1","1","0.0351515","0.467879","0.494545","0.00242424","825","3.05099e-08"
"61","75","catch","1","1","0.0267315","0.469016","0.500608","0.0036452","823","0.13313"
"62","76","catch","1","1","0.0366748","0.447433","0.512225","0.00366748","818","0.00859802"
"63","77","catch","1","1","0.0319018","0.463804","0.500613","0.00368098","815","0.000646112"
"64","78","catch","1","1","0.0298507","0.471393","0.497512","0.00124378","804","4.99745e-10"
"65","79","catch","1","1","0.0319018","0.483436","0.482209","0.00245399","815","0.362069"
"66","80","catch","1","1","0.0299043","0.460526","0.507177","0.00239234","836","0.0628997"
"67","15","catch","1","2","0.357143","0.587719","0.0513784","-999","798","0.00242367"
"68","16","catch","1","2","0.250251","0.620101","0.126633","-999","995","4.98857e-10"
"69","17","catch","1","2","0.294769","0.615694","0.0865191","-999","994","0.357034"
"70","18","catch","1","2","0.261089","0.638105","0.0967742","-999","992","0.107826"
"71","19","catch","1","2","0.271903","0.630413","0.0946626","-999","993","0.00633014"
"72","20","catch","1","2","0.259296","0.634171","0.103518","-999","995","3.47027e-10"
"73","21","catch","1","2","0.270707","0.632323","0.0939394","-999","990","0.436671"
"74","22","catch","1","2","0.27027","0.638639","0.0870871","-999","999","0.190047"
"75","23","catch","1","2","0.287588","0.634712","0.074672","-999","991","0.015783"
"76","24","catch","1","2","0.243976","0.628514","0.124498","-999","996","3.43807e-10"
"77","25","catch","1","2","0.275932","0.629406","0.0916415","-999","993","0.44926"
"78","26","catch","1","2","0.27666","0.627767","0.0925553","-999","994","0.278484"
"79","27","catch","1","2","0.284274","0.61996","0.0917339","-999","992","0.0311344"
"80","28","catch","1","2","0.271903","0.63142","0.0936556","-999","993","3.42352e-10"
"81","29","catch","1","2","0.27291","0.639476","0.0845921","-999","993","0.425446"
"82","30","catch","1","2","0.260826","0.64149","0.0946626","-999","993","0.361022"
"83","31","catch","1","2","0.274194","0.631048","0.0907258","-999","992","0.0525224"
"84","32","catch","1","2","0.271084","0.63253","0.0933735","-999","996","3.42274e-10"
"85","33","catch","1","2","0.27621","0.632056","0.0887097","-999","992","0.380967"
"86","34","catch","1","2","0.285","0.634","0.077","-999","1000","0.427708"
"87","35","catch","1","2","0.265451","0.628166","0.103343","-999","987","0.0786954"
"88","36","catch","1","2","0.288306","0.621976","0.0856855","-999","992","3.39914e-10"
"89","37","catch","1","2","0.2666","0.635815","0.0945674","-999","994","0.323239"
"90","38","catch","1","2","0.283988","0.629406","0.0835851","-999","993","0.458793"
"91","39","catch","1","2","0.259073","0.637097","0.100806","-999","992","0.104207"
"92","40","catch","1","2","0.284274","0.637097","0.0745968","-999","992","3.23281e-10"
"93","41","catch","1","2","0.264854","0.64854","0.0835851","-999","993","0.286796"
"94","42","catch","1","2","0.246727","0.624371","0.125881","-999","993","0.494767"
"95","43","catch","1","2","0.257576","0.634343","0.105051","-999","990","0.135595"
"96","44","catch","1","2","0.274747","0.637374","0.0838384","-999","990","0.242025"
"97","45","catch","1","2","0.281818","0.631313","0.0838384","-999","990","0.488918"
"98","46","catch","1","2","0.264854","0.625378","0.106747","-999","993","0.158778"
"99","47","catch","1","2","0.26997","0.638018","0.0889788","-999","989","2.98664e-10"
"100","48","catch","1","2","0.279635","0.634245","0.0820669","-999","987","0.223053"
"101","49","catch","1","2","0.261569","0.637827","0.0975855","-999","994","0.508833"
"102","50","catch","1","2","0.27008","0.628514","0.0983936","-999","996","0.192359"
"103","51","catch","1","2","0.259858","0.609707","0.127401","-999","989","2.97856e-10"
"104","52","catch","1","2","0.290744","0.626761","0.0794769","-999","994","0.170427"
"105","53","catch","1","2","0.271357","0.633166","0.0924623","-999","995","0.316155"
"106","54","catch","1","2","0.260081","0.639113","0.0977823","-999","992","0.136364"
"107","55","catch","1","2","0.284274","0.622984","0.0887097","-999","992","1.78392e-10"
"108","56","catch","1","2","0.262575","0.630785","0.103622","-999","994","0.243851"
"109","57","catch","1","2","0.277108","0.638554","0.0813253","-999","996","0.332764"
"110","58","catch","1","2","0.250251","0.634171","0.112563","-999","995","0.154036"
"111","59","catch","1","2","0.270161","0.618952","0.107863","-999","992","1.73212e-10"
"112","60","catch","1","2","0.268612","0.641851","0.0865191","-999","994","0.269254"
"113","61","catch","1","2","0.261569","0.638833","0.0965795","-999","994","0.362103"
"114","62","catch","1","2","0.25504","0.638105","0.103831","-999","992","0.174063"
"115","63","catch","1","2","0.270541","0.625251","0.101202","-999","998","1.69574e-10"
"116","64","catch","1","2","0.253792","0.62184","0.121335","-999","989","0.259789"
"117","65","catch","1","2","0.274924","0.629406","0.0916415","-999","993","0.371556"
"118","66","catch","1","2","0.284274","0.635081","0.0766129","-999","992","0.185402"
"119","67","catch","1","2","0.250758","0.627907","0.118301","-999","989","1.57268e-10"
"120","68","catch","1","2","0.269347","0.621106","0.106533","-999","995","0.255582"
"121","69","catch","1","2","0.276104","0.63253","0.0883534","-999","996","0.39546"
"122","70","catch","1","2","0.266936","0.638018","0.0920121","-999","989","0.205889"
"123","71","catch","1","2","0.265594","0.623742","0.10664","-999","994","1.52871e-10"
"124","72","catch","1","2","0.268687","0.633333","0.0949495","-999","990","0.234127"
"125","73","catch","1","2","0.283838","0.631313","0.0808081","-999","990","0.391185"
"126","74","catch","1","2","0.248491","0.619718","0.128773","-999","994","0.21404"
"127","75","catch","1","2","0.270707","0.621212","0.105051","-999","990","1.39927e-10"
"128","76","catch","1","2","0.273185","0.633065","0.0907258","-999","992","0.220659"
"129","77","catch","1","2","0.258065","0.625","0.113911","-999","992","0.372403"
"130","78","catch","1","2","0.278112","0.62249","0.0953815","-999","996","0.214363"
"131","79","catch","1","2","0.266064","0.63253","0.0983936","-999","996","1.24165e-10"
"132","80","catch","1","2","0.263317","0.627136","0.106533","-999","995","0.130702"
"133","15","catch","1","3","-999","0.016158","0.824057","0.159785","557","0.0117227"
"134","16","catch","1","3","-999","0.0289256","0.856749","0.114325","726","0.00340674"
"135","17","catch","1","3","-999","0.0326705","0.855114","0.112216","704","1.73621e-12"
"136","18","catch","1","3","-999","0.037464","0.867435","0.0951009","694","0.35929"
"137","19","catch","1","3","-999","0.0378682","0.863955","0.0981767","713","0.0652382"
"138","20","catch","1","3","-999","0.0434783","0.869565","0.0869565","690","0.00537468"
"139","21","catch","1","3","-999","0.0404463","0.870293","0.0892608","717","1.73484e-12"
"140","22","catch","1","3","-999","0.0423729","0.868644","0.0889831","708","0.444052"
"141","23","catch","1","3","-999","0.0439716","0.869504","0.0865248","705","0.149459"
"142","24","catch","1","3","-999","0.0455801","0.879834","0.0745856","724","0.0118147"
"143","25","catch","1","3","-999","0.0386152","0.868176","0.0932091","751","1.68493e-12"
"144","26","catch","1","3","-999","0.0376344","0.864247","0.0981183","744","0.466992"
"145","27","catch","1","3","-999","0.034965","0.864336","0.100699","715","0.244078"
"146","28","catch","1","3","-999","0.0307076","0.863818","0.105474","749","0.024615"
"147","29","catch","1","3","-999","0.0301442","0.845347","0.124509","763","1.68314e-12"
"148","30","catch","1","3","-999","0.0265604","0.860558","0.112882","753","0.439425"
"149","31","catch","1","3","-999","0.0275862","0.85931","0.113103","725","0.326208"
"150","32","catch","1","3","-999","0.029661","0.846045","0.124294","708","0.0428753"
"151","33","catch","1","3","-999","0.0299479","0.847656","0.122396","768","1.64729e-12"
"152","34","catch","1","3","-999","0.0331034","0.851034","0.115862","725","0.402764"
"153","35","catch","1","3","-999","0.0361446","0.872825","0.0910308","747","0.401936"
"154","36","catch","1","3","-999","0.0420168","0.868347","0.0896359","714","0.0673612"
"155","37","catch","1","3","-999","0.0380435","0.860054","0.101902","736","1.64868e-12"
"156","38","catch","1","3","-999","0.0384088","0.860082","0.101509","729","0.350744"
"157","39","catch","1","3","-999","0.040404","0.858586","0.10101","693","0.454547"
"158","40","catch","1","3","-999","0.0360111","0.864266","0.099723","722","0.0948566"
"159","41","catch","1","3","-999","0.0361111","0.841667","0.122222","720","1.62021e-12"
"160","42","catch","1","3","-999","0.027451","0.858824","0.113725","765","0.299044"
"161","43","catch","1","3","-999","0.023407","0.851756","0.124837","769","0.482189"
"162","44","catch","1","3","-999","0.0222805","0.847969","0.129751","763","0.122637"
"163","45","catch","1","3","-999","0.0213049","0.849534","0.129161","751","1.56342e-12"
"164","46","catch","1","3","-999","0.0224719","0.842697","0.134831","712","0.262721"
"165","47","catch","1","3","-999","0.0247396","0.811198","0.164062","768","0.511179"
"166","48","catch","1","3","-999","0.0188172","0.856183","0.125","744","0.155358"
"167","49","catch","1","3","-999","0.0255682","0.853693","0.120739","704","1.55455e-12"
"168","50","catch","1","3","-999","0.0303907","0.869754","0.0998553","691","0.226595"
"169","51","catch","1","3","-999","0.0281124","0.844712","0.127175","747","0.528141"
"170","52","catch","1","3","-999","0.0266854","0.848315","0.125","712","0.188922"
"171","53","catch","1","3","-999","0.0287356","0.864943","0.106322","696","1.54235e-12"
"172","54","catch","1","3","-999","0.0301291","0.859397","0.110473","697","0.189212"
"173","55","catch","1","3","-999","0.0323015","0.84926","0.118439","743","0.494833"
"174","56","catch","1","3","-999","0.0325318","0.867044","0.100424","707","0.205717"
"175","57","catch","1","3","-999","0.0351617","0.852321","0.112518","711","1.41324e-12"
"176","58","catch","1","3","-999","0.0269865","0.857571","0.115442","667","0.137369"
"177","59","catch","1","3","-999","0.0307076","0.857143","0.11215","749","0.0830357"
"178","60","catch","1","3","-999","0.0292826","0.879941","0.090776","683","0.0370013"
"179","61","catch","1","3","-999","0.0326409","0.862018","0.105341","674","2.19088e-13"
"180","62","catch","1","3","-999","0.0239437","0.843662","0.132394","710","0.32001"
"181","63","catch","1","3","-999","0.0234483","0.849655","0.126897","725","0.122855"
"182","64","catch","1","3","-999","0.022695","0.852482","0.124823","705","0.0412958"
"183","65","catch","1","3","-999","0.0270636","0.856563","0.116373","739","2.08644e-13"
