number,area,year,species,type,InpN,lenbin,obs_value,label,pred_value,nll,pearson,resid,res_abs,prey
1,1,15,1,0,605,2,0.028099174,catch,0.383811,44.445,-0.574168808,0,0.574168808,-99
1,1,15,1,0,605,3,0.557024793,catch,0.21565,-319.797,0.735117428,1,0.735117428,-99
1,1,15,1,0,605,4,0.414876033,catch,0.0369222,-607.211,1.966957467,1,1.966957467,-99
1,1,16,1,0,792,2,0.027777778,catch,0.35046,55.7702,-0.545074432,0,0.545074432,-99
1,1,16,1,0,792,3,0.52020202,catch,0.232086,-332.529,0.598057492,1,0.598057492,-99
1,1,16,1,0,792,4,0.450757576,catch,0.0424909,-843.106,1.980596319,1,1.980596319,-99
1,1,16,1,0,792,5,0.001262626,catch,1.54E-06,-6.70595,1.014575724,1,1.014575724,-99
1,1,17,1,0,820,2,0.02804878,catch,0.370203,59.3425,-0.562343828,0,0.562343828,-99
1,1,17,1,0,820,3,0.524390244,catch,0.287421,-258.554,0.442010651,1,0.442010651,-99
1,1,17,1,0,820,4,0.447560976,catch,0.0580473,-749.618,1.616708413,1,1.616708413,-99
1,1,18,1,0,820,2,0.031707317,catch,0.257921,54.4988,-0.445425954,0,0.445425954,-99
1,1,18,1,0,820,3,0.542682927,catch,0.195522,-454.278,0.785114546,1,0.785114546,-99
1,1,18,1,0,820,4,0.425609756,catch,0.0441233,-791.02,1.816122466,1,1.816122466,-99
1,1,19,1,0,825,2,0.035151515,catch,0.346538,66.3614,-0.528961821,0,0.528961821,-99
1,1,19,1,0,825,3,0.551515152,catch,0.254806,-351.336,0.58779531,1,0.58779531,-99
1,1,19,1,0,825,4,0.413333333,catch,0.0611427,-651.666,1.424313187,1,1.424313187,-99
1,1,20,1,0,830,2,0.036144578,catch,0.359117,68.8836,-0.538948736,0,0.538948736,-99
1,1,20,1,0,830,3,0.56746988,catch,0.315587,-276.361,0.448372633,1,0.448372633,-99
1,1,20,1,0,830,4,0.396385542,catch,0.0811665,-521.756,1.106430236,1,1.106430236,-99
1,1,21,1,0,821,2,0.03410475,catch,0.256192,56.4617,-0.438773958,0,0.438773958,-99
1,1,21,1,0,821,3,0.568818514,catch,0.22444,-434.289,0.726918828,1,0.726918828,-99
1,1,21,1,0,821,4,0.397076736,catch,0.0628782,-600.795,1.332767802,1,1.332767802,-99
1,1,22,1,0,822,2,0.03649635,catch,0.335381,66.5417,-0.516100623,0,0.516100623,-99
1,1,22,1,0,822,3,0.554744526,catch,0.278111,-314.862,0.524560674,1,0.524560674,-99
1,1,22,1,0,822,4,0.408759124,catch,0.080783,-544.777,1.153937377,1,1.153937377,-99
1,1,23,1,0,815,2,0.042944785,catch,0.338916,72.3043,-0.508397538,0,0.508397538,-99
1,1,23,1,0,815,3,0.543558282,catch,0.319605,-235.255,0.396141781,1,0.396141781,-99
1,1,23,1,0,815,4,0.413496933,catch,0.0963478,-490.903,1.021745248,1,1.021745248,-99
1,1,24,1,0,826,2,0.03874092,catch,0.336703,69.1938,-0.513496519,0,0.513496519,-99
1,1,24,1,0,826,3,0.542372881,catch,0.375803,-164.367,0.271716715,1,0.271716715,-99
1,1,24,1,0,826,4,0.418886199,catch,0.120395,-431.4,0.860255196,1,0.860255196,-99
