"","number","area","year","species","type","InpN","lenbin","obs_value","label","pred_value","nll"
"1",1,1,15,1,0,605,2,0.028099173553719,"catch",0.383811,44.445
"2",1,1,15,1,0,605,3,0.55702479338843,"catch",0.21565,-319.797
"3",1,1,15,1,0,605,4,0.414876033057851,"catch",0.0369222,-607.211
"4",1,1,16,1,0,792,2,0.0277777777777778,"catch",0.35046,55.7702
"5",1,1,16,1,0,792,3,0.52020202020202,"catch",0.232086,-332.529
"6",1,1,16,1,0,792,4,0.450757575757576,"catch",0.0424909,-843.106
"7",1,1,16,1,0,792,5,0.00126262626262626,"catch",1.54496e-06,-6.70595
"8",1,1,17,1,0,820,2,0.0280487804878049,"catch",0.370203,59.3425
"9",1,1,17,1,0,820,3,0.524390243902439,"catch",0.287421,-258.554
"10",1,1,17,1,0,820,4,0.447560975609756,"catch",0.0580473,-749.618
"11",1,1,18,1,0,820,2,0.0317073170731707,"catch",0.257921,54.4988
"12",1,1,18,1,0,820,3,0.542682926829268,"catch",0.195522,-454.278
"13",1,1,18,1,0,820,4,0.425609756097561,"catch",0.0441233,-791.02
"14",1,1,19,1,0,825,2,0.0351515151515151,"catch",0.346538,66.3614
"15",1,1,19,1,0,825,3,0.551515151515152,"catch",0.254806,-351.336
"16",1,1,19,1,0,825,4,0.413333333333333,"catch",0.0611427,-651.666
"17",1,1,20,1,0,830,2,0.036144578313253,"catch",0.359117,68.8836
"18",1,1,20,1,0,830,3,0.567469879518072,"catch",0.315587,-276.361
"19",1,1,20,1,0,830,4,0.396385542168675,"catch",0.0811665,-521.756
"20",1,1,21,1,0,821,2,0.0341047503045067,"catch",0.256192,56.4617
"21",1,1,21,1,0,821,3,0.568818514007308,"catch",0.22444,-434.289
"22",1,1,21,1,0,821,4,0.397076735688185,"catch",0.0628782,-600.795
"23",1,1,22,1,0,822,2,0.0364963503649635,"catch",0.335381,66.5417
"24",1,1,22,1,0,822,3,0.554744525547445,"catch",0.278111,-314.862
"25",1,1,22,1,0,822,4,0.408759124087591,"catch",0.080783,-544.777
"26",1,1,23,1,0,815,2,0.0429447852760736,"catch",0.338916,72.3043
"27",1,1,23,1,0,815,3,0.543558282208589,"catch",0.319605,-235.255
"28",1,1,23,1,0,815,4,0.413496932515337,"catch",0.0963478,-490.903
"29",1,1,24,1,0,826,2,0.0387409200968523,"catch",0.336703,69.1938
"30",1,1,24,1,0,826,3,0.542372881355932,"catch",0.375803,-164.367
"31",1,1,24,1,0,826,4,0.418886198547215,"catch",0.120395,-431.4
"32",1,1,25,1,0,849,2,0.0376914016489988,"catch",0.291825,65.4952
"33",1,1,25,1,0,849,3,0.548881036513545,"catch",0.378808,-172.817
"34",1,1,25,1,0,849,4,0.413427561837456,"catch",0.131663,-401.626
"35",1,1,26,1,0,823,2,0.0376670716889429,"catch",0.202999,52.2168
"36",1,1,26,1,0,823,3,0.526123936816525,"catch",0.200689,-417.316
"37",1,1,26,1,0,823,4,0.436208991494532,"catch",0.0749211,-632.445
"38",1,1,27,1,0,831,2,0.0409145607701564,"catch",0.312711,69.149
"39",1,1,27,1,0,831,3,0.555956678700361,"catch",0.243187,-382.009
"40",1,1,27,1,0,831,4,0.401925391095066,"catch",0.0890456,-503.377
"41",1,1,27,1,0,831,5,0.00120336943441637,"catch",2.27866e-07,-8.57188
"42",1,1,28,1,0,818,2,0.0415647921760391,"catch",0.327839,70.2192
"43",1,1,28,1,0,818,3,0.526894865525672,"catch",0.272116,-284.794
"44",1,1,28,1,0,818,4,0.430317848410758,"catch",0.0963667,-526.72
"45",1,1,28,1,0,818,5,0.00122249388753056,"catch",2.04965e-07,-8.69356
"46",1,1,29,1,0,838,2,0.0405727923627685,"catch",0.344736,72.7492
"47",1,1,29,1,0,838,3,0.536992840095465,"catch",0.32718,-222.964
"48",1,1,29,1,0,838,4,0.422434367541766,"catch",0.115258,-459.798
"49",1,1,30,1,0,835,2,0.0383233532934132,"catch",0.329379,68.8368
"50",1,1,30,1,0,835,3,0.519760479041916,"catch",0.375284,-141.347
"51",1,1,30,1,0,835,4,0.439520958083832,"catch",0.136357,-429.54
"52",1,1,30,1,0,835,5,0.00239520958083832,"catch",1.98814e-07,-18.7932
"53",1,1,31,1,0,810,2,0.0382716049382716,"catch",0.201039,51.4226
"54",1,1,31,1,0,810,3,0.537037037037037,"catch",0.176055,-485.143
"55",1,1,31,1,0,810,4,0.423456790123457,"catch",0.0665954,-634.487
"56",1,1,31,1,0,810,5,0.00123456790123457,"catch",8.10462e-08,-9.63121
"57",1,1,32,1,0,838,2,0.0369928400954654,"catch",0.206592,53.3206
"58",1,1,32,1,0,838,3,0.535799522673031,"catch",0.0923171,-789.58
"59",1,1,32,1,0,838,4,0.426014319809069,"catch",0.0316406,-928.211
"60",1,1,32,1,0,838,5,0.00119331742243437,"catch",3.2125e-08,-10.5226
"61",1,1,33,1,0,818,2,0.039119804400978,"catch",0.133037,39.168
"62",1,1,33,1,0,818,3,0.539119804400978,"catch",0.00858485,-1825.71
"63",1,1,33,1,0,818,4,0.420537897310513,"catch",0.000689496,-2206.19
"64",1,1,33,1,0,818,5,0.00122249388753056,"catch",5.28085e-10,-14.6549
"65",1,1,34,1,0,831,2,0.0421179302045728,"catch",0.361907,75.282
"66",1,1,34,1,0,831,3,0.548736462093863,"catch",0.0628759,-987.903
"67",1,1,34,1,0,831,4,0.407942238267148,"catch",0.00246744,-1731.59
"68",1,1,34,1,0,831,5,0.00120336943441637,"catch",5.27964e-10,-14.6394
"69",1,1,35,1,0,825,2,0.0375757575757576,"catch",0.356623,69.7599
"70",1,1,35,1,0,825,3,0.52,"catch",0.1077,-675.452
"71",1,1,35,1,0,825,4,0.44,"catch",0.00635625,-1538.15
"72",1,1,35,1,0,825,5,0.00242424242424242,"catch",3.67312e-10,-31.4051
"73",1,1,36,1,0,804,2,0.0385572139303483,"catch",0.436393,75.2184
"74",1,1,36,1,0,804,3,0.531094527363184,"catch",0.189885,-439.178
"75",1,1,36,1,0,804,4,0.42910447761194,"catch",0.0158059,-1138.95
"76",1,1,36,1,0,804,5,0.00124378109452736,"catch",3.64193e-10,-15.0437
"77",1,1,37,1,0,822,2,0.0389294403892944,"catch",0.449079,78.2543
"78",1,1,37,1,0,822,3,0.534063260340633,"catch",0.278325,-286.107
"79",1,1,37,1,0,822,4,0.425790754257908,"catch",0.0311571,-915.217
"80",1,1,37,1,0,822,5,0.00121654501216545,"catch",3.62867e-10,-15.0252
"81",1,1,38,1,0,846,2,0.0401891252955083,"catch",0.425309,80.2135
"82",1,1,38,1,0,846,3,0.546099290780142,"catch",0.360861,-191.41
"83",1,1,38,1,0,846,4,0.411347517730496,"catch",0.0525463,-716.095
"84",1,1,38,1,0,846,5,0.00236406619385343,"catch",3.62925e-10,-31.3789
"85",1,1,39,1,0,829,2,0.0386007237635706,"catch",0.380865,73.2536
"86",1,1,39,1,0,829,3,0.546441495778046,"catch",0.42756,-111.135
"87",1,1,39,1,0,829,4,0.41254523522316,"catch",0.0787254,-566.482
"88",1,1,39,1,0,829,5,0.00241254523522316,"catch",3.60545e-10,-31.4327
"89",1,1,40,1,0,824,2,0.037621359223301,"catch",0.323114,66.6635
"90",1,1,40,1,0,824,3,0.512135922330097,"catch",0.458548,-46.6417
"91",1,1,40,1,0,824,4,0.447815533980583,"catch",0.104218,-537.962
"92",1,1,40,1,0,824,5,0.00242718446601942,"catch",3.42911e-10,-31.5451
"93",1,1,41,1,0,850,2,0.0388235294117647,"catch",0.286754,65.9868
"94",1,1,41,1,0,850,3,0.518823529411765,"catch",0.494517,-21.1599
"95",1,1,41,1,0,850,4,0.442352941176471,"catch",0.135604,-444.572
"96",1,1,42,1,0,816,2,0.0343137254901961,"catch",0.242009,54.696
"97",1,1,42,1,0,816,3,0.479166666666667,"catch",0.488478,7.525
"98",1,1,42,1,0,816,4,0.48406862745098,"catch",0.158707,-440.491
"99",1,1,42,1,0,816,5,0.00245098039215686,"catch",3.16743e-10,-31.7233
"100",1,1,43,1,0,800,2,0.03125,"catch",0.223165,49.1473
"101",1,1,43,1,0,800,3,0.46,"catch",0.508251,36.7077
