"","number","year","species","data","cv","predicted","residual","nll","numero"
"1",1,1,1,10935600,0.1,326451000,-3.39626,591.552,1000
"2",1,2,1,9581590,0.1,1335090000,-4.93691,1233.35,1000
"3",1,3,1,10305400,0.1,1932700000,-5.23401,1384.51,1000
"4",1,4,1,10493900,0.1,2307180000,-5.39299,1469,1000
"5",1,5,1,12148400,0.1,2430560000,-5.29868,1418.73,1000
"6",1,6,1,12945500,0.1,2338810000,-5.19665,1365.25,1000
"7",1,7,1,9884340,0.1,5275670000,-6.27991,1986.59,1000
"8",1,8,1,11881700,0.1,7190660000,-6.40554,2066.45,1000
"9",1,9,1,13937900,0.1,8010590000,-6.35391,2033.67,1000
"10",1,10,1,11195700,0.1,7973770000,-6.56838,2172.03,1000
"11",1,11,1,10780500,0.1,7785450000,-6.58228,2181.13,1000
"12",1,12,1,10638000,0.1,8879090000,-6.72702,2277.44,1000
"13",1,13,1,11609700,0.1,9721120000,-6.73021,2279.67,1000
"14",1,14,1,10321100,0.1,10554500000,-6.93012,2416.09,1000
"15",1,15,1,9363720,0.1,10627800000,-7.03439,2488.8,1000
"16",1,16,1,8094540,0.1,10400300000,-7.1584,2576.66,1000
"17",1,17,1,6067050,0.1,9508960000,-7.35712,2720.59,1000
"18",1,18,1,4359770,0.1,9102500000,-7.64388,2935.35,1000
"19",1,19,1,3937300,0.1,8180580000,-7.63902,2931.54,1000
"20",1,20,1,2698720,0.1,7058280000,-7.86918,3109.62,1000
"21",1,21,1,3483810,0.1,6398830000,-7.51574,2838,1000
"22",1,22,1,2779550,0.1,5722120000,-7.62981,2924.15,1000
"23",1,23,1,2582230,0.1,4999770000,-7.56849,2877.48,1000
"24",1,24,1,2516200,0.1,4263560000,-7.43511,2777.4,1000
"25",1,25,1,2907810,0.1,3599370000,-7.12111,2549.01,1000
"26",1,26,1,2615700,0.1,3307420000,-7.14239,2564.08,1000
"27",1,27,1,2581690,0.1,2985740000,-7.05316,2500.73,1000
"28",1,28,1,2809950,0.1,2660550000,-6.85312,2361.73,1000
