"","fishery","area","year","species","type","inpN","lenbin","value","obs"
"1",1,1,15,"Blue_whiting",0,605,1,1e-06,233
"2",1,1,15,"Blue_whiting",0,605,2,0.028099173553719,233
"3",1,1,15,"Blue_whiting",0,605,3,0.55702479338843,126
"4",1,1,15,"Blue_whiting",0,605,4,0.414876033057851,13
"5",1,1,15,"Blue_whiting",0,605,5,1e-06,0
"6",1,1,16,"Blue_whiting",0,792,1,1e-06,308
"7",1,1,16,"Blue_whiting",0,792,2,0.0277777777777778,271
"8",1,1,16,"Blue_whiting",0,792,3,0.52020202020202,186
"9",1,1,16,"Blue_whiting",0,792,4,0.450757575757576,27
"10",1,1,16,"Blue_whiting",0,792,5,0.00126262626262626,0
"11",1,1,17,"Blue_whiting",0,820,1,1e-06,255
"12",1,1,17,"Blue_whiting",0,820,2,0.0280487804878049,295
"13",1,1,17,"Blue_whiting",0,820,3,0.524390243902439,223
"14",1,1,17,"Blue_whiting",0,820,4,0.447560975609756,47
"15",1,1,17,"Blue_whiting",0,820,5,1e-06,0
"16",1,1,18,"Blue_whiting",0,820,1,1e-06,421
"17",1,1,18,"Blue_whiting",0,820,2,0.0317073170731707,201
"18",1,1,18,"Blue_whiting",0,820,3,0.542682926829268,165
"19",1,1,18,"Blue_whiting",0,820,4,0.425609756097561,33
"20",1,1,18,"Blue_whiting",0,820,5,1e-06,0
"21",1,1,19,"Blue_whiting",0,825,1,1e-06,279
"22",1,1,19,"Blue_whiting",0,825,2,0.0351515151515151,274
"23",1,1,19,"Blue_whiting",0,825,3,0.551515151515152,221
"24",1,1,19,"Blue_whiting",0,825,4,0.413333333333333,51
"25",1,1,19,"Blue_whiting",0,825,5,1e-06,0
"26",1,1,20,"Blue_whiting",0,830,1,1e-06,199
"27",1,1,20,"Blue_whiting",0,830,2,0.036144578313253,271
"28",1,1,20,"Blue_whiting",0,830,3,0.567469879518072,272
"29",1,1,20,"Blue_whiting",0,830,4,0.396385542168675,88
"30",1,1,20,"Blue_whiting",0,830,5,1e-06,0
"31",1,1,21,"Blue_whiting",0,821,1,1e-06,374
"32",1,1,21,"Blue_whiting",0,821,2,0.0341047503045067,211
"33",1,1,21,"Blue_whiting",0,821,3,0.568818514007308,173
"34",1,1,21,"Blue_whiting",0,821,4,0.397076735688185,63
"35",1,1,21,"Blue_whiting",0,821,5,1e-06,0
"36",1,1,22,"Blue_whiting",0,822,1,1e-06,270
"37",1,1,22,"Blue_whiting",0,822,2,0.0364963503649635,260
"38",1,1,22,"Blue_whiting",0,822,3,0.554744525547445,235
"39",1,1,22,"Blue_whiting",0,822,4,0.408759124087591,57
"40",1,1,22,"Blue_whiting",0,822,5,1e-06,0
