"","survey","year","species","sizebin","inpN","prey","value","obs"
"1",1,1,"Blue_whiting",2,100,"Blue_whiting",1e-06,0
"2",1,1,"Blue_whiting",2,100,"Capelin",2.84571868032227e-05,0
"3",1,1,"Blue_whiting",2,100,"Green_halibut",1e-06,0
"4",1,1,"Blue_whiting",2,100,"Haddock",1e-06,0
"5",1,1,"Blue_whiting",2,100,"Long_rough_dab",1e-06,0
"6",1,1,"Blue_whiting",2,100,"Mackerel",1e-06,0
"7",1,1,"Blue_whiting",2,100,"North_atl_cod",1e-06,0
"8",1,1,"Blue_whiting",2,100,"Norwegian_ssh",9.08826792106647e-07,0
"9",1,1,"Blue_whiting",2,100,"Polar_cod",1e-06,0
"10",1,1,"Blue_whiting",2,100,"Redfish",0.000154217932356321,0
"11",1,1,"Blue_whiting",2,100,"Saithe",1e-06,0
"12",1,1,"Blue_whiting",2,100,"allotherprey",0.999816416054048,100
"13",1,1,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"14",1,1,"Blue_whiting",3,100,"Capelin",0.0075982452955973,1
"15",1,1,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"16",1,1,"Blue_whiting",3,100,"Haddock",1e-06,0
"17",1,1,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"18",1,1,"Blue_whiting",3,100,"Mackerel",1e-06,0
"19",1,1,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"20",1,1,"Blue_whiting",3,100,"Norwegian_ssh",0.000240019455579865,0
"21",1,1,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"22",1,1,"Blue_whiting",3,100,"Redfish",0.0444987279013236,0
"23",1,1,"Blue_whiting",3,100,"Saithe",1e-06,0
"24",1,1,"Blue_whiting",3,100,"allotherprey",0.947663007347499,99
"25",1,1,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"26",1,1,"Blue_whiting",4,100,"Capelin",0.00989021633586698,0
"27",1,1,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"28",1,1,"Blue_whiting",4,100,"Haddock",1e-06,0
"29",1,1,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"30",1,1,"Blue_whiting",4,100,"Mackerel",1e-06,0
"31",1,1,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"32",1,1,"Blue_whiting",4,100,"Norwegian_ssh",0.000312296087671614,0
"33",1,1,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"34",1,1,"Blue_whiting",4,100,"Redfish",0.0585807103197357,0
"35",1,1,"Blue_whiting",4,100,"Saithe",1e-06,0
"36",1,1,"Blue_whiting",4,100,"allotherprey",0.931216777256726,100
"37",1,1,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"38",1,1,"Blue_whiting",5,100,"Capelin",0.0099673468497257,0
"39",1,1,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"40",1,1,"Blue_whiting",5,100,"Haddock",1e-06,0
"41",1,1,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"42",1,1,"Blue_whiting",5,100,"Mackerel",1e-06,0
"43",1,1,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"44",1,1,"Blue_whiting",5,100,"Norwegian_ssh",0.000314689759926553,0
"45",1,1,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"46",1,1,"Blue_whiting",5,100,"Redfish",0.0597517372202052,0
"47",1,1,"Blue_whiting",5,100,"Saithe",1e-06,0
"48",1,1,"Blue_whiting",5,100,"allotherprey",0.929966226170143,100
"49",1,2,"Blue_whiting",2,100,"Blue_whiting",1e-06,0
"50",1,2,"Blue_whiting",2,100,"Capelin",2.32904248159048e-05,0
"51",1,2,"Blue_whiting",2,100,"Green_halibut",1e-06,0
"52",1,2,"Blue_whiting",2,100,"Haddock",1e-06,0
"53",1,2,"Blue_whiting",2,100,"Long_rough_dab",1e-06,0
"54",1,2,"Blue_whiting",2,100,"Mackerel",1e-06,0
"55",1,2,"Blue_whiting",2,100,"North_atl_cod",1e-06,0
"56",1,2,"Blue_whiting",2,100,"Norwegian_ssh",1e-06,0
"57",1,2,"Blue_whiting",2,100,"Polar_cod",1e-06,0
"58",1,2,"Blue_whiting",2,100,"Redfish",0.000170438029187585,0
"59",1,2,"Blue_whiting",2,100,"Saithe",1e-06,0
"60",1,2,"Blue_whiting",2,100,"allotherprey",0.999806271545997,100
