"","number","area","year","species","type","InpN","lenbin","obs_value","label","pred_value","nll","pearson"
"1",1,1,15,"Blue_whiting",0,605,1,1e-05,"catch",0.363614,0.0635326,-0.602987562288823
"2",1,1,15,"Blue_whiting",0,605,2,0.028099173553719,"catch",0.383811,44.445,-0.574168808360686
"3",1,1,15,"Blue_whiting",0,605,3,0.55702479338843,"catch",0.21565,-319.797,0.73511742804879
"4",1,1,15,"Blue_whiting",0,605,4,0.414876033057851,"catch",0.0369222,-607.211,1.96695746686968
"5",1,1,15,"Blue_whiting",0,605,5,1e-05,"catch",1.95449e-06,-0.00987636,0.00575488769085179
"6",1,1,16,"Blue_whiting",0,792,1,1e-05,"catch",0.374962,0.0834134,-0.612325077280601
"7",1,1,16,"Blue_whiting",0,792,2,0.0277777777777778,"catch",0.35046,55.7702,-0.545074431917487
"8",1,1,16,"Blue_whiting",0,792,3,0.52020202020202,"catch",0.232086,-332.529,0.598057492188432
"9",1,1,16,"Blue_whiting",0,792,4,0.450757575757576,"catch",0.0424909,-843.106,1.98059631939084
"10",1,1,16,"Blue_whiting",0,792,5,0.00126262626262626,"catch",1.54496e-06,-6.70595,1.01457572441675
"11",1,1,17,"Blue_whiting",0,820,1,1e-05,"catch",0.284327,0.0840934,-0.533204463927026
"12",1,1,17,"Blue_whiting",0,820,2,0.0280487804878049,"catch",0.370203,59.3425,-0.562343828463279
"13",1,1,17,"Blue_whiting",0,820,3,0.524390243902439,"catch",0.287421,-258.554,0.442010651280459
"14",1,1,17,"Blue_whiting",0,820,4,0.447560975609756,"catch",0.0580473,-749.618,1.61670841258586
"15",1,1,17,"Blue_whiting",0,820,5,1e-05,"catch",1.49776e-06,-0.0155686,0.0069472391001172
"16",1,1,18,"Blue_whiting",0,820,1,1e-05,"catch",0.502432,0.088762,-0.708810270946346
"17",1,1,18,"Blue_whiting",0,820,2,0.0317073170731707,"catch",0.257921,54.4988,-0.445425953622675
"18",1,1,18,"Blue_whiting",0,820,3,0.542682926829268,"catch",0.195522,-454.278,0.785114545897807
"19",1,1,18,"Blue_whiting",0,820,4,0.425609756097561,"catch",0.0441233,-791.02,1.81612246593374
"20",1,1,18,"Blue_whiting",0,820,5,1e-05,"catch",8.3917e-07,-0.020319,0.0100002267863329
"21",1,1,19,"Blue_whiting",0,825,1,1e-05,"catch",0.337513,0.0860209,-0.580941477514117
