"","survey","year","species","type","inpN","lenbin","value","obs"
"1",1,1,"Blue_whiting",0,1000,1,1e-06,0
"2",1,1,"Blue_whiting",0,1000,2,0.00342017100855043,45
"3",1,1,"Blue_whiting",0,1000,3,0.514215710785539,319
"4",1,1,"Blue_whiting",0,1000,4,0.479473973698685,620
"5",1,1,"Blue_whiting",0,1000,5,0.00289014450722536,16
"6",1,2,"Blue_whiting",0,1000,1,1e-06,785
"7",1,2,"Blue_whiting",0,1000,2,0.00350992980140397,189
"8",1,2,"Blue_whiting",0,1000,3,0.519689606207876,17
"9",1,2,"Blue_whiting",0,1000,4,0.474030519389612,9
"10",1,2,"Blue_whiting",0,1000,5,0.00276994460110798,0
"11",1,3,"Blue_whiting",0,1000,1,1e-06,546
"12",1,3,"Blue_whiting",0,1000,2,0.00337037074078149,351
"13",1,3,"Blue_whiting",0,1000,3,0.518287011571273,94
"14",1,3,"Blue_whiting",0,1000,4,0.475602316254788,9
"15",1,3,"Blue_whiting",0,1000,5,0.00274030143315765,0
"16",1,4,"Blue_whiting",0,1000,1,1e-06,437
"17",1,4,"Blue_whiting",0,1000,2,0.00340027202176174,406
"18",1,4,"Blue_whiting",0,1000,3,0.521651732138571,139
"19",1,4,"Blue_whiting",0,1000,4,0.472297783822706,18
"20",1,4,"Blue_whiting",0,1000,5,0.00265021201696136,0
"21",1,5,"Blue_whiting",0,1000,1,1e-06,297
"22",1,5,"Blue_whiting",0,1000,2,0.00329013160526421,448
"23",1,5,"Blue_whiting",0,1000,3,0.522050882035281,232
"24",1,5,"Blue_whiting",0,1000,4,0.471998879955198,23
"25",1,5,"Blue_whiting",0,1000,5,0.00266010640425617,0
"26",1,6,"Blue_whiting",0,1000,1,1e-06,184
"27",1,6,"Blue_whiting",0,1000,2,0.00323022611582811,430
"28",1,6,"Blue_whiting",0,1000,3,0.519726380846659,336
"29",1,6,"Blue_whiting",0,1000,4,0.474343204024282,49
"30",1,6,"Blue_whiting",0,1000,5,0.00270018901323093,1
